DuplicateGroupID,Action,RowNumber,QID,Source,Exam,Number,Topic,Subtopic,Difficulty,CorrectLetter,VerifiedAnswer,VerificationStatus,Question
7,DELETE_CANDIDATE,36,1036,SCP,1,36,Databricks Intelligence Platform,Select appropriate compute,Hard,A,A,Confirmed,"You are a data engineer overseeing a critical daily data processing pipeline. This pipeline includes tasks for data ingestion, transformation, and finally, loading the data into a data warehouse. One morning, you receive an alert that the job has failed during the transformation task due to an unexpected outage in the cluster. What action should you take to minimize downtime and ensure data integrity in your daily pipeline?"
7,KEEP,169,1173,SCP,4,3,Databricks Intelligence Platform,Select appropriate compute,Hard,B,B,Confirmed,"You are a data engineer overseeing a critical daily data processing pipeline. This pipeline includes tasks for data ingestion, transformation, and finally, loading the data into a data warehouse. One morning, you receive an alert that the job has failed during the transformation task due to an unexpected outage in the cluster. What action should you take to minimize downtime and ensure data integrity in your daily pipeline?"
8,DELETE_CANDIDATE,37,1037,SCP,1,37,Data Processing & Transformations,DDL and DML features,Easy,E,E,Confirmed,A dataset has been defined using Delta Live Tables and includes an expectations clause: CONSTRAINT valid_timestamp EXPECT (timestamp > ‘2022-01-01‘) ON VIOLATION DROP ROW What is the expected behavior when a batch of data containing data that violates these constraints is processed?
8,KEEP,116,1119,SCP,3,5,Data Processing & Transformations,DDL and DML features,Easy,A,A,Confirmed,A dataset has been defined using Delta Live Tables and includes an expectations clause: CONSTRAINT valid_timestamp EXPECT (timestamp > ‘2022-01-01‘) ON VIOLATION DROP ROW What is the expected behavior when a batch of data containing data that violates these constraints is processed?
9,DELETE_CANDIDATE,38,1038,SCP,1,38,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,Easy,B,B,Confirmed,In which scenario should a predecessor task be set up?
9,KEEP,168,1172,SCP,4,2,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,Easy,C,C,Confirmed,In which scenario should a predecessor task be set up?
10,DELETE_CANDIDATE,39,1039,SCP,1,39,Productionizing Pipelines,Workflow deployment and recovery,Easy,C,C,Confirmed,How does Databricks‘ workflow feature ‘Simple Workflow Authoring‘ cater to teams?
10,KEEP,129,1132,SCP,3,18,Productionizing Pipelines,Workflow deployment and recovery,Easy,D,D,Confirmed,How does Databricks‘ workflow feature ‘Simple Workflow Authoring‘ cater to teams?
11,DELETE_CANDIDATE,40,1041,SCP,1,41,Productionizing Pipelines,Workflow deployment and recovery,Medium,B,B,Confirmed,"A task in your Databricks job fails unexpectedly, and you need to find out why to fix the issue and prevent it from happening again. What is the first step you should take to debug this failed task?"
11,KEEP,210,1220,SCP,4,50,Productionizing Pipelines,Workflow deployment and recovery,Medium,A,A,Confirmed,"A task in your Databricks job fails unexpectedly, and you need to find out why to fix the issue and prevent it from happening again. What is the first step you should take to debug this failed task?"
12,DELETE_CANDIDATE,41,1042,SCP,1,42,Development and Ingestion,Use Auto Loader and debugging tools,Medium,C,C,Confirmed,"A data engineer is designing a data pipeline. The source system generates files in a shared directory that is also used by other processes. As a result, the files should be kept as is and will accumulate in the directory. The data engineer needs to identify which files are new since the previous run in the pipeline, and set up the pipeline to only ingest those new files with each run. Which of the following tools can the data engineer use to solve this problem?"
12,KEEP,193,1200,SCP,4,30,Development and Ingestion,Use Auto Loader and debugging tools,Medium,E,E,Confirmed,"A data engineer is designing a data pipeline. The source system generates files in a shared directory that is also used by other processes. As a result, the files should be kept as is and will accumulate in the directory. The data engineer needs to identify which files are new since the previous run in the pipeline, and set up the pipeline to only ingest those new files with each run. Which of the following tools can the data engineer use to solve this problem?"
13,DELETE_CANDIDATE,42,1043,SCP,1,43,Data Processing & Transformations,DDL and DML features,Hard,A,A,Confirmed,"A data engineer discovered an error in a daily update to a table and decided to use Delta Lake‘s time travel feature to revert the table to its state from three days ago. However, they encountered an issue where the attempt to time travel failed due to the deletion of the data files. What is the reason for the missing data files?"
13,KEEP,461,1527,SCP,10,1,Data Processing & Transformations,DDL and DML features,Hard,D,D,Confirmed,"A data engineer discovered an error in a daily update to a table and decided to use Delta Lake‘s time travel feature to revert the table to its state from three days ago. However, they encountered an issue where the attempt to time travel failed due to the deletion of the data files. What is the reason for the missing data files?"
14,DELETE_CANDIDATE,43,1044,SCP,1,44,Productionizing Pipelines,Workflow deployment and recovery,Hard,B,B,Confirmed,A data engineer uses a Databricks SQL dashboard to oversee the accuracy of data for an ELT job. This job includes a Databricks SQL query that identifies orders with a quantity of 0. The engineer aims to have the whole team alerted through a messaging webhook when any order is recorded with a quantity of 0. Which method should the data engineer employ to ensure the team receives a notification via a messaging webhook whenever an order‘s quantity is reported as 0?
14,KEEP,202,1211,SCP,4,41,Productionizing Pipelines,Workflow deployment and recovery,Hard,D,D,Confirmed,A data engineer uses a Databricks SQL dashboard to oversee the accuracy of data for an ELT job. This job includes a Databricks SQL query that identifies orders with a quantity of 0. The engineer aims to have the whole team alerted through a messaging webhook when any order is recorded with a quantity of 0. Which method should the data engineer employ to ensure the team receives a notification via a messaging webhook whenever an order‘s quantity is reported as 0?
15,DELETE_CANDIDATE,44,1045,SCP,1,45,Data Processing & Transformations,DDL and DML features,Medium,C,C,Confirmed,"A data engineer needs to add a new data record to an existing Delta table named my_table. The record details are as follows:
id STRING = ‘c01‘
rank INTEGER = 9
rating FLOAT = 6.2
Which SQL command should be used to append this new record to my_table?"
15,KEEP,131,1134,SCP,3,20,Data Processing & Transformations,DDL and DML features,Medium,E,E,Confirmed,"A data engineer needs to add a new data record to an existing Delta table named my_table. The record details are as follows:
id STRING = ‘c01‘
rank INTEGER = 9
rating FLOAT = 6.2
Which SQL command should be used to append this new record to my_table?"
16,DELETE_CANDIDATE,45,1046,SCP,1,46,Data Processing & Transformations,PySpark aggregations,Easy,A,A,Confirmed,Which of the following Structured Streaming queries is performing a hop from a Silver table to a Gold table?
16,KEEP,167,1171,SCP,4,1,Data Processing & Transformations,PySpark aggregations,Easy,E,E,Confirmed,Which of the following Structured Streaming queries is performing a hop from a Silver table to a Gold table?
17,DELETE_CANDIDATE,46,1048,SCP,1,48,Data Processing & Transformations,DDL and DML features,Medium,D,D,Confirmed,In which of the following scenarios should a data engineer use the MERGE INTO command instead of the INSERT INTO command?
17,KEEP,162,1166,SCP,3,52,Data Processing & Transformations,DDL and DML features,Medium,C,C,Confirmed,In which of the following scenarios should a data engineer use the MERGE INTO command instead of the INSERT INTO command?
18,DELETE_CANDIDATE,47,1049,SCP,1,49,Productionizing Pipelines,Workflow deployment and recovery,Hard,B,B,Confirmed,"A data engineer has configured a Structured Streaming job to read from a table, manipulate the data, and then perform a streaming write into a new table. The code block used by the data engineer is below:
(spark.readStream
.table(“sales“)
.withColumn(“avg_price“, col(“sales“) / col(“units“))
.writeStream
.option(“checkpointLocation“, checkpointPath)
.outputMode(“complete“)
._______
.table(“new_sales“)
)
If the data engineer only wants the query to process all of the available data in as many batches as required, which of the following lines of code should the data engineer use to fill in the blank?"
18,KEEP,208,1218,SCP,4,48,Productionizing Pipelines,Workflow deployment and recovery,Hard,E,E,Confirmed,"A data engineer has configured a Structured Streaming job to read from a table, manipulate the data, and then perform a streaming write into a new table. The code block used by the data engineer is below: (spark.readStream .table(“sales“) .withColumn(“avg_price“, col(“sales“) / col(“units“)) .writeStream .option(“checkpointLocation“, checkpointPath) .outputMode(“complete“) ._______ .table(“new_sales“) ) If the data engineer only wants the query to process all of the available data in as many batches as required, which of the following lines of code should the data engineer use to fill in the blank?"
19,DELETE_CANDIDATE,48,1050,SCP,1,50,Productionizing Pipelines,Workflow deployment and recovery,Medium,C,C,Confirmed,For what reason would a data engineer specify a Task in the “Depends On“ field while configuring a new Task in a Databricks Job?
19,KEEP,154,1157,SCP,3,43,Productionizing Pipelines,Workflow deployment and recovery,Medium,A,A,Confirmed,For what reason would a data engineer specify a Task in the “Depends On“ field while configuring a new Task in a Databricks Job?
20,DELETE_CANDIDATE,50,1052,SCP,1,52,Data Processing & Transformations,DDL and DML features,Easy,C,C,Confirmed,Which command allows for data to be inserted into a Delta table while ensuring duplicates are not written?
20,KEEP,123,1126,SCP,3,12,Data Processing & Transformations,DDL and DML features,Easy,A,A,Confirmed,Which command allows for data to be inserted into a Delta table while ensuring duplicates are not written?
21,DELETE_CANDIDATE,51,1053,SCP,1,53,Development and Ingestion,Use Auto Loader and debugging tools,Easy,B,B,Confirmed,What tool does Auto Loader utilize to process data in increments?
21,KEEP,176,1180,SCP,4,10,Development and Ingestion,Use Auto Loader and debugging tools,Easy,C,C,Confirmed,What tool does Auto Loader utilize to process data in increments?
22,DELETE_CANDIDATE,52,1054,SCP,1,54,Productionizing Pipelines,Workflow deployment and recovery,Hard,A,A,Confirmed,"A data engineer notices that one of the notebooks within a Job, which runs two notebooks as separate tasks, is performing slowly during the Job‘s current execution. They seek assistance from a tech lead to uncover the reason behind this slow performance. Which approach can the tech lead take to determine why the notebook is running slowly as part of the Job?"
22,KEEP,141,1144,SCP,3,30,Productionizing Pipelines,Workflow deployment and recovery,Hard,C,C,Confirmed,"A data engineer notices that one of the notebooks within a Job, which runs two notebooks as separate tasks, is performing slowly during the Job‘s current execution. They seek assistance from a tech lead to uncover the reason behind this slow performance. Which approach can the tech lead take to determine why the notebook is running slowly as part of the Job?"
23,DELETE_CANDIDATE,53,1055,SCP,1,55,Productionizing Pipelines,Workflow deployment and recovery,Medium,A,A,Confirmed,A data engineer needs to apply a complex run schedule from one Job to others without manually setting each time in Databricks. Which tool allows them to define and apply this schedule through code (programmatically)?
23,KEEP,125,1128,SCP,3,14,Productionizing Pipelines,Workflow deployment and recovery,Medium,D,D,Confirmed,A data engineer needs to apply a complex run schedule from one Job to others without manually setting each time in Databricks. Which tool allows them to define and apply this schedule through code (programmatically)?
24,DELETE_CANDIDATE,54,1056,SCP,1,56,Data Processing & Transformations,DDL and DML features,Hard,A,A,Confirmed,"A data engineer needs to update an existing Delta table with fresh data from a recent batch process. The new data should replace all existing records in the table to ensure that only the most current data is available for analysis. The engineer wants to accomplish this in a single operation to maintain efficiency. Which SQL command should the data engineer use to update the table with the new data, replacing all old records?"
24,KEEP,201,1210,SCP,4,40,Data Processing & Transformations,DDL and DML features,Hard,B,B,Confirmed,"A data engineer needs to update an existing Delta table with fresh data from a recent batch process. The new data should replace all existing records in the table to ensure that only the most current data is available for analysis. The engineer wants to accomplish this in a single operation to maintain efficiency. Which SQL command should the data engineer use to update the table with the new data, replacing all old records?"
25,DELETE_CANDIDATE,55,1057,SCP,1,57,Productionizing Pipelines,Workflow deployment and recovery,Easy,D,D,Confirmed,What is a critical step in orchestrating a task within a Databricks Workflow Job?
25,KEEP,178,1183,SCP,4,13,Productionizing Pipelines,Workflow deployment and recovery,Easy,A,A,Confirmed,What is a critical step in orchestrating a task within a Databricks Workflow Job?
26,DELETE_CANDIDATE,57,1059,SCP,2,2,Data Processing & Transformations,DDL and DML features,Easy,B,B,Confirmed,What is the purpose of using schema_of_json in SQL?
26,DELETE_CANDIDATE,179,1184,SCP,4,14,Data Processing & Transformations,DDL and DML features,Easy,C,C,Confirmed,What is the purpose of using schema_of_json in SQL?
26,KEEP,191,1198,SCP,4,28,Data Processing & Transformations,DDL and DML features,Easy,A,A,Confirmed,What is the purpose of using schema_of_json in SQL?
27,DELETE_CANDIDATE,58,1060,SCP,2,3,Data Processing & Transformations,PySpark aggregations,Hard,A,A,Confirmed,"A data engineering team is tasked with automating a Spark SQL query that compiles monthly sales data. The query is designed to access a table named in the format monthly_sales_YYYYMM, where YYYYMM denotes the year and month of the sales data. The automation needs to ensure that each execution of the query targets the table for the month preceding the current one. The standard query format is:
SELECT product_category, SUM(sales)
FROM monthly_sales_YYYYMM
GROUP BY product_category;
Considering the requirement for the query to adapt monthly to access data from the previous month, which strategy should the data engineering team employ? For instance, if the current month is March 2023, the query should automatically target the table named monthly_sales_202302."
27,KEEP,161,1165,SCP,3,51,Data Processing & Transformations,PySpark aggregations,Hard,A,A,Confirmed,"A data engineering team is tasked with automating a Spark SQL query that compiles monthly sales data. The query is designed to access a table named in the format monthly_sales_YYYYMM, where YYYYMM denotes the year and month of the sales data. The automation needs to ensure that each execution of the query targets the table for the month preceding the current one. The standard query format is: SELECT product_category, SUM(sales) FROM monthly_sales_YYYYMM GROUP BY product_category; Considering the requirement for the query to adapt monthly to access data from the previous month, which strategy should the data engineering team employ?    For instance, if the current month is March 2023, the query should automatically target the table named monthly_sales_202302."
28,DELETE_CANDIDATE,60,1062,SCP,2,5,Data Processing & Transformations,DDL and DML features,Medium,E,E,Confirmed,"A data engineer tries to remove a Spark SQL table named my_table with the intention of erasing both the table‘s metadata and its data. They execute the command: DROP TABLE IF EXISTS my_table; After running this command, my_table no longer shows up in the list of tables, but the data files remain. What explains the persistence of the data files despite the deletion of the metadata?"
28,KEEP,127,1130,SCP,3,16,Data Processing & Transformations,DDL and DML features,Medium,C,C,Confirmed,"A data engineer tries to remove a Spark SQL table named my_table with the intention of erasing both the table‘s metadata and its data. They execute the command: DROP TABLE IF EXISTS my_table; After running this command, my_table no longer shows up in the list of tables, but the data files remain. What explains the persistence of the data files despite the deletion of the metadata?"
29,DELETE_CANDIDATE,61,1063,SCP,2,6,Data Processing & Transformations,DDL and DML features,Medium,B,B,Confirmed,A data engineer working in Databricks wants to create a User-Defined Function (UDF) to convert temperatures from Celsius to Fahrenheit for a dataset containing global weather information. Which of the following best describes the steps they should take to accomplish this within a Databricks notebook?
29,KEEP,164,1168,SCP,3,54,Data Processing & Transformations,DDL and DML features,Medium,D,D,Confirmed,A data engineer working in Databricks wants to create a User-Defined Function (UDF) to convert temperatures from Celsius to Fahrenheit for a dataset containing global weather information. Which of the following best describes the steps they should take to accomplish this within a Databricks notebook?
30,DELETE_CANDIDATE,63,1065,SCP,2,8,Data Processing & Transformations,DDL and DML features,Easy,A,A,Confirmed,Which benefit is offered by utilizing array functions in Spark SQL?
30,DELETE_CANDIDATE,148,1151,SCP,3,37,Data Processing & Transformations,DDL and DML features,Easy,C,C,Confirmed,Which benefit is offered by utilizing array functions in Spark SQL?
30,KEEP,205,1214,SCP,4,44,Data Processing & Transformations,DDL and DML features,Easy,C,C,Confirmed,Which benefit is offered by utilizing array functions in Spark SQL?
31,DELETE_CANDIDATE,65,1067,SCP,2,10,Data Processing & Transformations,DDL and DML features,Medium,A,A,Confirmed,"A data engineer aims to implement custom logic on the string column city in the locaion table for a particular scenario. To efficiently apply this custom logic across the dataset, the engineer plans to establish a SQL user-defined function (UDF). Which code snippet correctly defines this SQL UDF?"
31,KEEP,120,1123,SCP,3,9,Data Processing & Transformations,DDL and DML features,Medium,D,D,Confirmed,"A data engineer aims to implement custom logic on the string column city in the locaion table for a particular scenario. To efficiently apply this custom logic across the dataset, the engineer plans to establish a SQL user-defined function (UDF). Which code snippet correctly defines this SQL UDF?"
32,DELETE_CANDIDATE,69,1071,SCP,2,14,Data Processing & Transformations,DDL and DML features,Easy,C,C,Confirmed,"Given a table named ‘events‘ with a column ‘items‘ that contains an array of values, which SQL query would transform each item of the array into a separate row?"
32,KEEP,204,1213,SCP,4,43,Data Processing & Transformations,DDL and DML features,Easy,D,D,Confirmed,"Given a table named ‘events‘ with a column ‘items‘ that contains an array of values, which SQL query would transform each item of the array into a separate row?"
33,DELETE_CANDIDATE,73,1075,SCP,2,18,Data Processing & Transformations,PySpark aggregations,Easy,B,B,Confirmed,Which of the following SQL keywords can be used to convert a table from a long format to a wide format?
33,KEEP,117,1120,SCP,3,6,Data Processing & Transformations,PySpark aggregations,Easy,B,B,Confirmed,Which of the following SQL keywords can be used to convert a table from a long format to a wide format?
34,DELETE_CANDIDATE,74,1076,SCP,2,19,Data Processing & Transformations,DDL and DML features,Medium,D,D,Confirmed,Assuming you have a Delta Lake table named customer_purchases that contains duplicate records based on customer_id. You want to deduplicate these records by keeping only the latest purchase record for each customer based on a purchase_date. How would you use the MERGE statement in Databricks SQL to achieve this?
34,KEEP,174,1178,SCP,4,8,Data Processing & Transformations,DDL and DML features,Medium,D,D,Confirmed,Assuming you have a Delta Lake table named customer_purchases that contains duplicate records based on customer_id. You want to deduplicate these records by keeping only the latest purchase record for each customer based on a purchase_date. How would you use the MERGE statement in Databricks SQL to achieve this?
35,DELETE_CANDIDATE,75,1077,SCP,2,20,Data Processing & Transformations,DDL and DML features,Hard,E,E,Confirmed,"A data engineer is working on a project that involves analyzing a large dataset using Spark SQL. To facilitate the analysis, they create a temporary view of the dataset for preliminary exploration. After creating the temporary view in their current Spark session, they attempt to access this view from a different Spark session for further analysis. Why is the data engineer unable to access the temporary view from a different Spark session?"
35,DELETE_CANDIDATE,143,1146,SCP,3,32,Data Processing & Transformations,DDL and DML features,Hard,B,B,Confirmed,"A data engineer is working on a project that involves analyzing a large dataset using Spark SQL. To facilitate the analysis, they create a temporary view of the dataset for preliminary exploration. After creating the temporary view in their current Spark session, they attempt to access this view from a different Spark session for further analysis. Why is the data engineer unable to access the temporary view from a different Spark session?"
35,KEEP,213,1225,SCP,4,55,Data Processing & Transformations,DDL and DML features,Hard,B,B,Confirmed,"A data engineer is working on a project that involves analyzing a large dataset using Spark SQL. To facilitate the analysis, they create a temporary view of the dataset for preliminary exploration. After creating the temporary view in their current Spark session, they attempt to access this view from a different Spark session for further analysis. Why is the data engineer unable to access the temporary view from a different Spark session?"
36,DELETE_CANDIDATE,77,1079,SCP,2,22,Data Processing & Transformations,DDL and DML features,Hard,A,A,Confirmed,"A data engineer is in the process of crafting a new table to store the names of customers residing in the USA. They‘ve initiated the command as follows:
CREATE TABLE customersInUSA
________ AS
SELECT id, firstName, lastName
FROM Locations
WHERE country = ‘USA‘;
A more experienced data engineer has highlighted that, according to company guidelines, any new table that stores personally identifiable information (PII) must be clearly marked with a specific table property. Which snippet of code should be inserted to meet this requirement and accurately complete the command?"
36,KEEP,423,1471,SCP,9,4,Data Processing & Transformations,DDL and DML features,Hard,A,A,Confirmed,"A data engineer is in the process of crafting a new table to store the names of customers residing in the USA. They‘ve initiated the command as follows: CREATE TABLE customersInUSA ________ AS SELECT id, firstName, lastName FROM Locations WHERE country = ‘USA‘; A more experienced data engineer has highlighted that, according to company guidelines, any new table that stores personally identifiable information (PII) must be clearly marked with a specific table property. Which snippet of code should be inserted to meet this requirement and accurately complete the command?"
37,DELETE_CANDIDATE,80,1082,SCP,2,25,Data Processing & Transformations,DDL and DML features,Easy,A,A,Confirmed,"When querying data from a JSON file in Databricks SQL, what prefix should be included after the FROM keyword?"
37,KEEP,142,1145,SCP,3,31,Data Processing & Transformations,DDL and DML features,Easy,A,A,Confirmed,"When querying data from a JSON file in Databricks SQL, what prefix should be included after the FROM keyword?"
38,DELETE_CANDIDATE,81,1083,SCP,2,26,Data Processing & Transformations,DDL and DML features,Easy,A,A,Confirmed,What syntax does Spark SQL use to query subfields within STRUCT data types?
38,KEEP,180,1186,SCP,4,16,Data Processing & Transformations,DDL and DML features,Easy,A,A,Confirmed,What syntax does Spark SQL use to query subfields within STRUCT data types?
39,DELETE_CANDIDATE,85,1087,SCP,2,30,Databricks Intelligence Platform,Select appropriate compute,Easy,C,C,Confirmed,Which of the following is stored in the Databricks customer‘s cloud account?
39,KEEP,207,1216,SCP,4,46,Databricks Intelligence Platform,Select appropriate compute,Easy,D,D,Confirmed,Which of the following is stored in the Databricks customer‘s cloud account?
40,DELETE_CANDIDATE,86,1088,SCP,2,31,Databricks Intelligence Platform,Select appropriate compute,Easy,C,C,Confirmed,What is a key difference between all-purpose clusters and job clusters in Databricks?
40,KEEP,165,1169,SCP,3,55,Databricks Intelligence Platform,Select appropriate compute,Easy,D,D,Confirmed,What is a key difference between all-purpose clusters and job clusters in Databricks?
41,DELETE_CANDIDATE,88,1090,SCP,2,33,Development and Ingestion,Understand notebook capabilities,Easy,A,A,Confirmed,"If you are analyzing data in a Databricks notebook using Python, how can you switch to SQL for a specific visualization task?"
41,KEEP,149,1152,SCP,3,38,Development and Ingestion,Understand notebook capabilities,Easy,C,C,Confirmed,"If you are analyzing data in a Databricks notebook using Python, how can you switch to SQL for a specific visualization task?"
42,DELETE_CANDIDATE,90,1092,SCP,2,35,Databricks Intelligence Platform,Select appropriate compute,Medium,C,C,Confirmed,A data team is evaluating their infrastructure needs to enhance their reporting workflows. They are considering the adoption of cluster pools within their Databricks environment. In which scenario would a data team most benefit from implementing cluster pools?
42,KEEP,203,1212,SCP,4,42,Databricks Intelligence Platform,Select appropriate compute,Medium,D,D,Confirmed,A data team is evaluating their infrastructure needs to enhance their reporting workflows. They are considering the adoption of cluster pools within their Databricks environment. In which scenario would a data team most benefit from implementing cluster pools?
43,DELETE_CANDIDATE,91,1093,SCP,2,36,Data Governance & Quality,Unity Catalog permissions,Easy,D,D,Confirmed,"When integrating the Unity Catalog with existing systems, what is a key advantage?"
43,KEEP,172,1176,SCP,4,6,Data Governance & Quality,Unity Catalog permissions,Easy,B,B,Confirmed,"When integrating the Unity Catalog with existing systems, what is a key advantage?"
44,DELETE_CANDIDATE,94,1096,SCP,2,39,Data Governance & Quality,Lineage and audit logs,Easy,A,A,Confirmed,What is the role of Data Lineage in Databricks' Data Governance?
44,KEEP,166,1170,SCP,3,56,Data Governance & Quality,Lineage and audit logs,Easy,D,D,Confirmed,What is the role of Data Lineage in Databricks' Data Governance?
45,DELETE_CANDIDATE,95,1097,SCP,2,40,Databricks Intelligence Platform,Select appropriate compute,Easy,C,C,Confirmed,How can users filter clusters in Databricks to view only those that are accessible to them?
45,KEEP,215,1227,SCP,4,57,Databricks Intelligence Platform,Select appropriate compute,Easy,D,D,Confirmed,How can users filter clusters in Databricks to view only those that are accessible to them?
46,DELETE_CANDIDATE,96,1098,SCP,2,41,Development and Ingestion,Understand notebook capabilities,Easy,A,A,Confirmed,How can you enable collaborative editing of a Databricks notebook by multiple team members within your organization?
46,KEEP,122,1125,SCP,3,11,Development and Ingestion,Understand notebook capabilities,Easy,B,B,Confirmed,How can you enable collaborative editing of a Databricks notebook by multiple team members within your organization?
47,DELETE_CANDIDATE,97,1099,SCP,2,42,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,Easy,B,B,Confirmed,Which benefit is offered by Delta Lake within the Databricks Lakehouse Platform?
47,KEEP,173,1177,SCP,4,7,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,Easy,B,B,Confirmed,Which benefit is offered by Delta Lake within the Databricks Lakehouse Platform?
48,DELETE_CANDIDATE,99,1101,SCP,2,44,Databricks Intelligence Platform,Select appropriate compute,Medium,A,A,Confirmed,Why would you consider restarting a Databricks cluster?
48,KEEP,126,1129,SCP,3,15,Databricks Intelligence Platform,Select appropriate compute,Medium,A,A,Confirmed,Why would you consider restarting a Databricks cluster?
49,DELETE_CANDIDATE,101,1103,SCP,2,46,Databricks Intelligence Platform,Select appropriate compute,Easy,D,D,Confirmed,What is the impact of terminating a cluster in Databricks?
49,KEEP,177,1181,SCP,4,11,Databricks Intelligence Platform,Select appropriate compute,Easy,A,A,Confirmed,What is the impact of terminating a cluster in Databricks?
50,DELETE_CANDIDATE,103,1105,SCP,2,48,Databricks Intelligence Platform,Select appropriate compute,Hard,A,A,Confirmed,"Your organization runs multiple data engineering projects simultaneously, each requiring different cluster configurations and sizes. To optimize resource utilization across these projects, you‘re considering the use of Cluster Pools. How would Cluster Pools facilitate better resource utilization across multiple projects in this scenario?"
50,KEEP,113,1116,SCP,3,2,Databricks Intelligence Platform,Select appropriate compute,Hard,B,B,Confirmed,"Your organization runs multiple data engineering projects simultaneously, each requiring different cluster configurations and sizes. To optimize resource utilization across these projects, you‘re considering the use of Cluster Pools. How would Cluster Pools facilitate better resource utilization across multiple projects in this scenario?"
51,DELETE_CANDIDATE,104,1106,SCP,2,49,Data Processing & Transformations,Medallion Architecture,Easy,B,B,Confirmed,Which of the following best describes the difference between Gold tables and Silver tables?
51,KEEP,188,1194,SCP,4,24,Data Processing & Transformations,Medallion Architecture,Easy,D,D,Confirmed,Which of the following best describes the difference between Gold tables and Silver tables?
52,DELETE_CANDIDATE,105,1107,SCP,2,50,Productionizing Pipelines,Workflow deployment and recovery,Easy,C,C,Confirmed,Which job uses a Gold table as its source?
52,KEEP,158,1162,SCP,3,48,Productionizing Pipelines,Workflow deployment and recovery,Easy,C,C,Confirmed,Which job uses a Gold table as its source?
