QID,Topic,Subtopic,Question,CorrectLetter,CorrectAnswer,miss_count,MemoryHook
1084,Data Processing & Transformations,PySpark aggregations,"A data analyst has established a Delta table named sales that the entire data analysis team utilizes. They are seeking assistance from the data engineering team to conduct a series of tests to verify the cleanliness of the data. The data engineering team, however, prefers Python for their testing instead of SQL. Which command could the data engineering team use to access the sales table in PySpark?",E,spark.table(“sales“),1,Read Delta table as DataFrame: spark.table('table_name')
1085,Data Processing & Transformations,PySpark aggregations,"A data analyst has developed a query that runs against Delta table. They want help from the data engineering team to implement a series of tests to ensure the data returned by the query is clean. However, the data engineering team uses Python for its tests rather than SQL. Which of the following operations could the data engineering team use to run the query and operate with the results in PySpark?",B,spark.sql,0,Run SQL string in PySpark: spark.sql('...')
1086,Development and Ingestion,Understand notebook capabilities,A data engineer needs to decide between using a temporary view and implementing a strategy akin to a materialized view for a data transformation task. The task involves aggregating large volumes of data from various sources to create a comprehensive dashboard. The dashboard needs to be updated daily with data that has minimal latency. Which of the following options best describes the appropriate use case for each approach?,B,"Implement a materialized view-like strategy for the dashboard to ensure quick access to pre-aggregated data, and use a temporary view for ad-hoc, real-time analysis tasks that do not require data persistence.",1,Dashboard = materialized (pre-computed); ad-hoc = temp view
1109,Development and Ingestion,Understand notebook capabilities,A data engineer is looking to set a daily refresh schedule for their Databricks SQL dashboard and wishes to have the associated SQL endpoint active only when needed. Which method should the data engineer employ to keep the SQL endpoint‘s operational time to a minimum for the dashboard‘s refresh schedule?,E,They can turn on the Auto Stop feature for the SQL endpoint.,0,Dashboard auto-refresh: turn on Auto Stop to manage cost
1114,Data Processing & Transformations,PySpark aggregations,"A data engineer has a Python variable table_name that they would like to use in a SQL query. They want to construct a Python code block that will run the query using table_name. They have the following incomplete code block: ____(f“SELECT customer_id, spend FROM {table_name}“) Which of the following can be used to fill in the blank to successfully complete the task?",B,spark.sql,0,Python var into SQL: spark.sql with f-string or format
1115,Data Processing & Transformations,DDL and DML features,What is the purpose of the explode function in SQL?,B,To expand the elements of an array field into separate rows.,0,explode() = array rows -> individual rows
1120,Data Processing & Transformations,PySpark aggregations,Which of the following SQL keywords can be used to convert a table from a long format to a wide format?,B,PIVOT,0,Wide format from long: PIVOT keyword
1123,Data Processing & Transformations,DDL and DML features,"A data engineer aims to implement custom logic on the string column city in the locaion table for a particular scenario. To efficiently apply this custom logic across the dataset, the engineer plans to establish a SQL user-defined function (UDF). Which code snippet correctly defines this SQL UDF?",D,"CREATE FUNCTION combine_california (city STRING)
RETURNS STRING
RETURN CASE
WHEN city = “San Francisco“ THEN “California“
ELSE city
END;",0,UDF: CREATE FUNCTION -> RETURNS STRING -> RETURN CASE WHEN
1124,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,"In SQL queries that involve file data, how are text and binary files processed differently?",C,"Text files generate a column with a string value for each line, while binary files have columns for path, modification time, length, and content.",1,Text file = 1 column (value); binary = path/time/length/content
1126,Data Processing & Transformations,DDL and DML features,Which command allows for data to be inserted into a Delta table while ensuring duplicates are not written?,A,MERGE,0,No-duplicate inserts: MERGE (checks existence before insert)
1127,Data Processing & Transformations,DDL and DML features,"When creating a table in Databricks using a JDBC connection, which of the following SQL commands correctly attempts to create a new table and throws an error if the table with that name already exists?",C,"CREATE TABLE new_table USING jdbc OPTIONS (
  url 'jdbc:mysql://database.example.com:3306/mydb',
  dbtable 'new_table',
  user 'username',
  password 'password'
)",3,"JDBC table: CREATE TABLE ... USING jdbc OPTIONS (url, dbtable)"
1128,Productionizing Pipelines,Workflow deployment and recovery,A data engineer needs to apply a complex run schedule from one Job to others without manually setting each time in Databricks. Which tool allows them to define and apply this schedule through code (programmatically)?,D,Cron syntax,0,Complex repeating schedule: use Cron syntax
1130,Data Processing & Transformations,DDL and DML features,"A data engineer tries to remove a Spark SQL table named my_table with the intention of erasing both the table‘s metadata and its data. They execute the command: DROP TABLE IF EXISTS my_table; After running this command, my_table no longer shows up in the list of tables, but the data files remain. What explains the persistence of the data files despite the deletion of the metadata?",C,The table was set up as an external table.,0,"DROP on external table = metadata only, data stays"
1131,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,How does the VACUUM command manage deletes in Delta Lake tables?,D,"By cleaning up older, unnecessary files after a retention period.",0,VACUUM = garbage collector for old Delta files
1134,Data Processing & Transformations,DDL and DML features,"A data engineer needs to add a new data record to an existing Delta table named my_table. The record details are as follows:
id STRING = ‘c01‘
rank INTEGER = 9
rating FLOAT = 6.2
Which SQL command should be used to append this new record to my_table?",E,"INSERT INTO my_table VALUES (‘c01‘, 9, 6.2)",0,"Add a row: INSERT INTO table VALUES (v1, v2, v3)"
1138,Databricks Intelligence Platform,Select appropriate compute,"Your team is working on a project with a high volume of data transformations and model training tasks. To optimize resource allocation and improve efficiency, which Databricks feature should you use to isolate these tasks in separate environments?",A,Implement isolated clusters with different configurations for each task.,0,Different task configs: use isolated clusters per task
1139,Data Governance & Quality,Unity Catalog permissions,Which of the following statements is true about the Workspace Admin role in the Databricks Unity Catalog?,B,Workspace Admins have the ability to manage permissions on workspace assets and change job ownership.,0,Workspace Admin: manages permissions + changes job ownership
1145,Data Processing & Transformations,DDL and DML features,"When querying data from a JSON file in Databricks SQL, what prefix should be included after the FROM keyword?",A,json,0,JSON file prefix in FROM: json.'path/to/file'
1147,Data Governance & Quality,Lineage and audit logs,What functionality does Data Access Audit provide in a data governance framework?,C,It provides a mechanism to capture and record all access to data.,0,Data Access Audit = who touched what and when
1149,Data Processing & Transformations,Medallion Architecture,"When a data engineer and data analyst decide to transition their data pipeline to Delta Live Tables, considering their use of Python for the raw, bronze, and silver layers, and SQL for the gold layer, with a streaming input as the raw source, which adjustment is necessary?",B,None of these changes will need to be made,1,"DLT migration: existing Delta tables work as-is, no changes needed"
1152,Development and Ingestion,Understand notebook capabilities,"If you are analyzing data in a Databricks notebook using Python, how can you switch to SQL for a specific visualization task?",C,Use the %sql magic command in a new cell where you want to start using SQL.,0,Switch to SQL in notebook: %sql magic command
1153,Development and Ingestion,Understand notebook capabilities,"Given the task of dynamically generating a table name in Python using variables for region, store, and year, where the desired format for the table name is akin to “la200_sales_2022“ for region=“la“, store=“200“, and year=“2022“, which Python command would correctly construct this table name?",B,f“{region}{store}_sales_{year}“,0,F-string table name: f'{region}{store}_sales_{year}'
1155,Data Processing & Transformations,DDL and DML features,A data architect has determined that a table of the following format is necessary: employeeId | startDate | avgRating a1 | 2009-01-06 | 5.5 a2 | 2018-11-21 | 7.1 …… Which of the following code blocks uses SQL DDL commands to create an empty Delta table in the above format regardless of whether a table already exists with this name?“,A,"CREATE OR REPLACE TABLE table_name ( employeeId STRING, startDate DATE, avgRating FLOAT )",0,Redefine table with new schema: CREATE OR REPLACE TABLE
1158,Development and Ingestion,Understand notebook capabilities,What is the correct way to use Scala and Python code blocks for data processing in the same Databricks notebook?,C,Use the %scala magic command for Scala cells and %python for Python cells within the notebook.,0,"Multi-language notebook: %scala for Scala, %python for Python"
1164,Data Processing & Transformations,DDL and DML features,A data engineer wants to make a new table from different data sources and change the data a bit. They want to do this in one step without changing the original data. Which SQL command is the best for making a new table and changing the data at the same time?,A,CREATE TABLE AS SELECT (CTAS),0,Create table from query results: CTAS (CREATE TABLE AS SELECT)
1165,Data Processing & Transformations,PySpark aggregations,"A data engineering team is tasked with automating a Spark SQL query that compiles monthly sales data. The query is designed to access a table named in the format monthly_sales_YYYYMM, where YYYYMM denotes the year and month of the sales data. The automation needs to ensure that each execution of the query targets the table for the month preceding the current one. The standard query format is: SELECT product_category, SUM(sales) FROM monthly_sales_YYYYMM GROUP BY product_category; Considering the requirement for the query to adapt monthly to access data from the previous month, which strategy should the data engineering team employ?    For instance, if the current month is March 2023, the query should automatically target the table named monthly_sales_202302.",A,Develop a PySpark script that calculates the date for the previous month and dynamically inserts this date into the table name within the query string.,0,"Dynamic table name in query: calculate date, inject into f-string"
1166,Data Processing & Transformations,DDL and DML features,In which of the following scenarios should a data engineer use the MERGE INTO command instead of the INSERT INTO command?,C,When the target table cannot contain duplicate records,0,MERGE use case: when target must stay duplicate-free
1167,Data Processing & Transformations,PySpark aggregations,Which of the following commands will return the number of null values in the member_id column?,C,SELECT count_if(member_id IS NULL) FROM my_table;,0,Count NULLs: count_if(col IS NULL)
1168,Data Processing & Transformations,DDL and DML features,A data engineer working in Databricks wants to create a User-Defined Function (UDF) to convert temperatures from Celsius to Fahrenheit for a dataset containing global weather information. Which of the following best describes the steps they should take to accomplish this within a Databricks notebook?,D,Create a UDF in Databricks that applies the conversion formula and use it in a Spark SQL query to transform the temperature column.,0,"Temperature conversion: create UDF, apply in Spark SQL query"
1173,Databricks Intelligence Platform,Select appropriate compute,"You are a data engineer overseeing a critical daily data processing pipeline. This pipeline includes tasks for data ingestion, transformation, and finally, loading the data into a data warehouse. One morning, you receive an alert that the job has failed during the transformation task due to an unexpected outage in the cluster. What action should you take to minimize downtime and ensure data integrity in your daily pipeline?",B,Use the repair feature to rerun only the failed transformation task after resolving the cluster issue.,0,Failed task recovery: use Repair to rerun only failed tasks
1174,Data Governance & Quality,Unity Catalog permissions,A newly formed data engineering team ‘team‘ has been tasked with an ELT project and requires complete access to the ‘customers‘ database to manage the project effectively. Which command should be used to grant the new data engineering team ‘team‘ with full permissions on the ‘customers‘ database?,C,GRANT ALL PRIVILEGES ON DATABASE customers TO team;,0,Grant DB access: GRANT ALL PRIVILEGES ON DATABASE ... TO ...
1175,Development and Ingestion,Understand notebook capabilities,"A data analyst needs to enhance their Databricks notebook by adding complex data visualizations created with R, alongside existing Python analytics code. What is the best approach?",C,Use the %r magic command in new cells specifically for R-based visualizations.,0,R code in notebook: %r magic command
1178,Data Processing & Transformations,DDL and DML features,Assuming you have a Delta Lake table named customer_purchases that contains duplicate records based on customer_id. You want to deduplicate these records by keeping only the latest purchase record for each customer based on a purchase_date. How would you use the MERGE statement in Databricks SQL to achieve this?,D,"MERGE INTO customer_purchases AS target	USING (	SELECT customer_id, MAX(purchase_date) AS latest_purchase_date FROM customer_purchases GROUP BY customer_id ) AS source ON target.customer_id = source.customer_id AND target.purchase_date < source.latest_purchase_date	WHEN MATCHED THEN DELETE;					",1,MERGE to delete old records: WHEN MATCHED AND condition THEN DELETE
1186,Data Processing & Transformations,DDL and DML features,What syntax does Spark SQL use to query subfields within STRUCT data types?,A,Dot (.),0,Access nested struct field: dot notation -> col.field
1198,Data Processing & Transformations,DDL and DML features,What is the purpose of using schema_of_json in SQL?,A,To generate a schema that can be used to parse a JSON string into a struct.,0,schema_of_json() = generate schema from JSON to use in FROM_JSON
1201,Data Processing & Transformations,Medallion Architecture,"Which statement accurately describes the relationship between Silver and Bronze tables, without altering the given options?",A,Silver tables contain a more refined and cleaner view of data than Bronze tables.,0,"Silver > Bronze: Silver is cleaned/refined, Bronze is raw"
1203,Development and Ingestion,Understand notebook capabilities,How can you execute Python and SQL code within the same Databricks notebook?,D,By using the %python and %sql magic commands at the beginning of each cell to specify the language.,0,Cell language override: %python or %sql at cell start
1204,Development and Ingestion,Understand notebook capabilities,"A data science team is collaborating on a Databricks notebook. The data engineer prefers to use SQL for data extraction, while the data scientist wants to use Python for machine learning. How should they proceed within the same notebook?",B,Use %sql for data extraction cells and %python for machine learning cells.,0,SQL cells = %sql; Python/ML cells = %python
1205,Data Processing & Transformations,DDL and DML features,A data engineer has created a new database using the following command: CREATE DATABASE IF NOT EXISTS customer360; In which of the following locations will the customer360 database be located?,D,dbfs:/user/hive/warehouse,1,Default managed table location: dbfs:/user/hive/warehouse
1208,Development and Ingestion,Use Auto Loader and debugging tools,Which option best describes the kind of tasks that Auto Loader is always suited for?,A,Streaming workloads,0,Auto Loader best for: streaming/continuous file ingestion
1210,Data Processing & Transformations,DDL and DML features,"A data engineer needs to update an existing Delta table with fresh data from a recent batch process. The new data should replace all existing records in the table to ensure that only the most current data is available for analysis. The engineer wants to accomplish this in a single operation to maintain efficiency. Which SQL command should the data engineer use to update the table with the new data, replacing all old records?",B,INSERT OVERWRITE,1,Replace partition data: INSERT OVERWRITE
1211,Productionizing Pipelines,Workflow deployment and recovery,A data engineer uses a Databricks SQL dashboard to oversee the accuracy of data for an ELT job. This job includes a Databricks SQL query that identifies orders with a quantity of 0. The engineer aims to have the whole team alerted through a messaging webhook when any order is recorded with a quantity of 0. Which method should the data engineer employ to ensure the team receives a notification via a messaging webhook whenever an order‘s quantity is reported as 0?,D,They can set up an Alert with a new webhook alert destination.,0,Alert destination: webhook URL for external notifications
1212,Databricks Intelligence Platform,Select appropriate compute,A data team is evaluating their infrastructure needs to enhance their reporting workflows. They are considering the adoption of cluster pools within their Databricks environment. In which scenario would a data team most benefit from implementing cluster pools?,D,An automated report needs to be refreshed as quickly as possible.,0,Fastest report refresh = SQL Warehouse (serverless)
1213,Data Processing & Transformations,DDL and DML features,"Given a table named ‘events‘ with a column ‘items‘ that contains an array of values, which SQL query would transform each item of the array into a separate row?",D,"SELECT user_id, event_timestamp, event_name, explode(items) AS item FROM events;",0,Flatten array to rows in SELECT: explode(col) AS alias
1214,Data Processing & Transformations,DDL and DML features,Which benefit is offered by utilizing array functions in Spark SQL?,C,"The capability to process complex, hierarchical data structures sourced from JSON documents.",0,JSON in Delta = nested/hierarchical data handling
1218,Productionizing Pipelines,Workflow deployment and recovery,"A data engineer has configured a Structured Streaming job to read from a table, manipulate the data, and then perform a streaming write into a new table. The code block used by the data engineer is below: (spark.readStream .table(“sales“) .withColumn(“avg_price“, col(“sales“) / col(“units“)) .writeStream .option(“checkpointLocation“, checkpointPath) .outputMode(“complete“) ._______ .table(“new_sales“) ) If the data engineer only wants the query to process all of the available data in as many batches as required, which of the following lines of code should the data engineer use to fill in the blank?",E,trigger(availableNow=True),1,"Process all available now, then stop: trigger(availableNow=True)"
1222,Productionizing Pipelines,Workflow deployment and recovery,"In Databricks, where can you find historical data of job executions, including completed or active runs?",B,In the Runs tab,0,Check job run history: Runs tab in Jobs UI
1225,Data Processing & Transformations,DDL and DML features,"A data engineer is working on a project that involves analyzing a large dataset using Spark SQL. To facilitate the analysis, they create a temporary view of the dataset for preliminary exploration. After creating the temporary view in their current Spark session, they attempt to access this view from a different Spark session for further analysis. Why is the data engineer unable to access the temporary view from a different Spark session?",B,Temporary views in Spark SQL are session-scoped and cannot be accessed from different sessions.,0,"Temp view scope: session only, not shared across sessions"
1226,Databricks Intelligence Platform,Optimize data layout and query performance,"A data engineer notices that the data files linked to a Delta table are unusually small, leading to suboptimal performance. They decide to consolidate these small files into fewer, larger files to enhance query efficiency. Which keyword should be used to achieve the consolidation of small files?",D,OPTIMIZE,0,Compact small files: OPTIMIZE
1230,Development and Ingestion,Understand notebook capabilities,"Which of the following is true, when building a Databricks SQL dashboard?",D,More than one visualization can be developed using a single query result,0,One query result -> multiple visualizations in Databricks SQL
1232,Productionizing Pipelines,Workflow deployment and recovery,"The operations team is interested in monitoring the recently launched product, team wants to set up an email alert when the number of units sold increases by more than 10,000 units. They want to monitor this every 5 mins. Fill in the below blanks to finish the steps we need to take · Create ___ query that calculates total units sold · Setup ____ with query on trigger condition Units Sold > 10,000 · Setup ____ to run every 5 mins · Add destination ______",B,"SQL, Alert, Refresh, email address",0,Alert setup order: SQL query -> Alert -> Refresh -> email
1234,Data Governance & Quality,Unity Catalog permissions,"A new user who currently does not have access to the catalog or schema is requesting access to the customer table in sales schema, but the customer table contains sensitive information, so you have decided to create view on the table excluding columns that are sensitive and granted access to the view GRANT SELECT ON view_name to user@company.com but when the user tries to query the view, gets the error view does not exist. What is the issue preventing user to access the view and how to fix it?",D,User requires USAGE privilege on Sales schema,0,Schema access requires USAGE privilege on that schema
1241,Databricks Intelligence Platform,Explain the value of the Data Intelligence Platform,Which of the following statements are true about a lakehouse?,E,Lakehouse supports Transactions,0,Lakehouse = ACID transactions on open file formats
1243,Data Processing & Transformations,DDL and DML features,Which of the following SQL command can be used to insert or update or delete rows based on a condition to check if a row(s) exists?,A,MERGE INTO table_name COPY INTO table_name,0,Upsert = MERGE INTO; bulk load = COPY INTO
1244,Data Processing & Transformations,PySpark aggregations,"When investigating a data issue you realized that a process accidentally updated the table,  you want to query the same table with yesterday‘s version of the data so you can review what the prior version looks like, what is the best way to query historical data so you can do your analysis?",C,"SELECT * FROM table_name TIMESTAMP AS OF date_sub(current_date(), 1)",1,"Yesterday's data: TIMESTAMP AS OF date_sub(current_date(), 1)"
1247,Data Processing & Transformations,DDL and DML features,Which of the following is a true statement about the global temporary view?,A,"A global temporary view is available only on the cluster it was created, when the cluster restarts global temporary view is automatically dropped.",0,Global temp view dies when cluster restarts
1253,Data Processing & Transformations,DDL and DML features,"Below sample input data contains two columns. One column is cartId (also known as session id) and the second column is called items. Every time a customer makes a change to the cart, this is stored as an array in the table. The marketing team asked you to create a unique list of items that were ever added to the cart by each customer. Fill in the blanks by choosing the appropriate array function so the query produces the expected result as shown below.

Schema:
cartId INT, items ARRAY

Sample input data:

cartId | items
1      | [1, 100, 200, 300]
1      | [1, 250, 300]

Expected result:

cartId | items
1      | [1, 100, 200, 300, 250]

SELECT cartId, __ ( __ (items)) AS items
FROM carts
GROUP BY cartId

Expected result:
cartId | items
1      | [1, 100, 200, 300, 250]",D,"ARRAY_UNION, COLLECT_SET",2,Unique combined arrays: ARRAY_UNION; unique values: COLLECT_SET
